Region|Country|IncomeGroup|IDA Status|Financial closure year|Financial closure Month|Project name|RelatedNames|Type of PPI|Subtype of PPI|Project status|Primary sector|Secondary sector|Subsector|Segment|Location|ContractPeriod|TerminationYear|PubliclyTraded|StockExchange|MultipleSystems|NumberOfSystems|CaptiveFacility|SharePercent|GovtGrantingContract|TypeOfGovtSupport|InvestmentYear|PercentPrivate|GovtPaymentCommitments|PhysicalAssets|TotalInvestment|CPI Adjusted Investment|GovCashAssist|dateStatusUpdated|CapacityType|Capacity|CapacityYear|Technology|ContractHistory|RelatedProjects|BidCriteria|AwardMethod|NumberOfBids|NumberRenewalBids|Sponsors|MultiLateralSupport|Revenue Source|RenewalBidCriteria|RenewalAwardMethod|DevelopmentStage|CommissioningDate|ProjectGrid|CarbonCredits|FundingYear|PrivateFunding|PublicFunding|GovtFunding|BankLocalFunding|DonorFunding|DebtEquityGrantRatio
East Asia and Pacific|China|Upper middle income|Non-IDA|1994|December|Hunan Xiangci-AES Hydro Power Co. Ltd.|Cili Misty Mountain|Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Cili County, Hunan Province|||No|N/A|No||No||..||1994|51|0|14|14|21.7|||MW|26.2|1994|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|AES Corporation (51% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1996|May|Taicang Xiexing Thermal Power Co.||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Taicang, Jiangsu Province|||No|N/A|No||No||..||1996||0|0|0|0.0|0||MW||1996|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Continental Mariner Investment Co. Ltd. (.. / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1996|May|Taicang Xiexing Thermal Power Co.||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Taicang, Jiangsu Province|||No|N/A|No||No||..||1998|51|4.8|0|4.8|6.8|||MW|30|1998|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Continental Mariner Investment Co. Ltd. (.. / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1997|August|Nuon Nan'ao Wind Farm||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Nan'ao Island, Guangdong|20|2017|No|N/A|No||No||..||1997|55|0|30|30|42.9|||MW|24|1997|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Fuling Wind Power Development Corporation (.. / ..), Nan&#39;ao Zhenneng Wind Power Development Corporation (.. / ..), Nuon (.. / Netherlands)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1998|February|Asia Power Neijiang Hydropower||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Neijiang, Sichuan Province|||No|N/A|No||No||..||1998|60|3.2|0|3.2|4.5|||MW|13.5|1998|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Asia Power (60% / Singapore)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1998|March|Shengzhou Thermal Power Co.||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Shengzhou, Zhejiang Province|25|2023|No|N/A|No||No||..||1998|52|10|0|10|14.1|||MW|28.5|1998|Geothermal|||Not Applicable||Not Applicable|Not Applicable|Continental Mariner Investment Co. Ltd. (.. / ..), Austa Energy (.. / ..), New China Hong Kong Group (.. / ..)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1999|June|Fushi Meiya||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Fushi Guangxi Province|||No|N/A|No||No||..||1999|69|0|53|53|73.1|||MW|54|1999|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Meiya Power Company (MPC) (.. / ..), PSEG Global Inc. (35% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1999|January|Guangdong Huaiji Power|Guangdong Huaiji Hydro-electric Power Project|Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Huaiji County, Guangdong Province|30|2029|No|N/A|No||No||..||1999|50|0|115.7|115.7|159.5|||MW|115|1999|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (75% / Hong Kong, China)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1999|January|Guangdong Huaiji Power|Guangdong Huaiji Hydro-electric Power Project|Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Huaiji County, Guangdong Province|30|2029|No|N/A|No||No||..||2005|75|0|115.7|115.7|136.1|||MW|98|2005|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (75% / Hong Kong, China)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1999|June|Weigang Meiya||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Weigang, Shanghai|||No|N/A|No||No||..||1999|32|0|50|50|68.9|||MW|50|1999|Waste|||Not Applicable||Not Applicable|Not Applicable|American International Group (AIG) (.. / United States), PSEG Global Inc. (33% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|1999|October|Zuojiang Meiya||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Zuojiang, Guangxi|||No|N/A|No||No||..||1999|59|0|62.3|62.3|85.9|||MW|72|1999|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|PSEG Global Inc. (30% / United States), Asian Infrastructure Fund (18% / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2000|July|Fujian Mindong Electric Power Co.||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Fuan, Fujian Province|||Yes|Local|No||No||..||2000||150|0|150|200.1|||MW||2000|Hydro, Small (<50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Others (.. / ..)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2000|March|Guangxi Guigan Electric Power||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Guiguan, Guangxi Province|||Yes|..|No||No||..||2000|16|83.3|0|83.3|111.1|||MW|592|2000|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Others (.. / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2001|May|Beijing Kangxi Wind Farm Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Yanqing County, Beijing Municipality|30|2031|No|N/A|No||No||State/Provincial||2001|100|0|241.55|241.55|313.2|Not Available||MW|200|2001|Wind, Onshore|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Farsighted Investment (100% / China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2001|November|Longquan Ruiyang Phase II Hydroelectric Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Longquan City, Zhejiang Province|50|2051|No|N/A|No|1|No||..||2001||0|24.1|24.1|31.3|||MW|30|2001|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Farsighted Investment (.. / China)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2002|May|Asia Power Anning River||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Sichuan Province|30|2032|No|N/A|No||No||..||2002|30|0|38.65|38.65|49.3|||MW|117|2002|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Asia Power (30% / Singapore)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2002|July|Asia Power Sichuan Maoergai Hydropower||Greenfield project|Build, own, and operate|Construction|Energy|N/A|Electricity|Electricity generation|Songpan County, Sichuan Province|30|2032|No|N/A|No||No||..||2002|35|0|50.08|50.08|63.9|||MW|80|2002|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Asia Power (35% / Singapore)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2002|February|Mianyang - Units 2 and 3||Greenfield project|Build, own, and operate|Construction|Energy|N/A|Electricity|Electricity generation|Mianyang City, Sichuan province|30|2032|No|N/A|No|1|No||..||2002|75|0|30|30|38.3|||MW|45|2002|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Asian Infrastructure Fund (23% / ..), PSEG Global Inc. (38% / United States)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2002|December|Qingdao Huawei Wind Farm Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Jimo City, Shandong Province|25|2027|No|N/A|No|1|No||Local||2002||0|16.84|16.84|21.5|||MW|16|2002|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|Infra Vest GmbH (.. / Germany)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2002|September|Zhigangkala Hydroelectric Power Plant Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Jianzha County, Qinghai Province|30|2032|No|N/A|No|1|No||..||2002||0|171.5|171.5|218.9|||MW|190|2002|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|AES Corporation (.. / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2003|June|Helanshan Wind Farm Project phases I and II||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Azuo Qi County, Ningxia|25|2028|No|N/A|No||No||Local|Not Applicable|2003|50|0|11.14|11.14|13.9|Not Available|3/1/04|MW|30.9|2003|Wind, Onshore|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Farsighted Investment (50% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2004|||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2003|August|Jin'anqiao Hydroelectric Power Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Lijiang City, Yunnan Province|50||No|N/A|No|1|No||..||2003|100|0|1691|1691|2110.8|||MW|2500|2003|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Farsighted Investment (100% / China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2003|August|Nina Hydroelectric Plant||Divestiture|Full|Operational|Energy|N/A|Electricity|Electricity generation|Qinghai Province|50||No|N/A|No|1|No||..||2003|100|145|0|145|181.0|||MW|160|2003|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Farsighted Investment (100% / China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2003|October|Weixi Tuoluo River Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Weixi Lisu Minoriy Autonomative County, Yunnan Province|50|2053|No|N/A|No||No||Local||2003|100|0|18.12|18.12|22.6|Not Available|8/1/06|MW|30|2003|Hydro, Small (<50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Weixing Group Co Ltd (100% / China)|||Not Applicable|Not Applicable|Financial Closure|2006|||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2003|November|Yangtze Electric Power Co.|Three Gorges Dam Hydro Power Project|Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Sandouping, Yichang, Hubei province|||Yes|..|No|1|No||..||2003|30|1200|0|1200|1497.9|||MW|6977|2003|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Others (30% / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2003|August|Yongkou Hydro Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Dehua County, Fujian Province|50|2053|No|N/A|No||No||..||2003|100|0|25.85|25.85|32.3|Not Available|6/1/06|MW|25|2003|Hydro, Small (<50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Jiamei Group (25% / China), Longpeng Group (25% / China), Chuangyi Group (25% / China), Shunmei Group (25% / China)|||Not Applicable|Not Applicable|Financial Closure|2006|||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2004|October|China Power International Development Ltd.||Divestiture|Partial|Operational|Energy|N/A|Electricity|Electricity generation|Nationwide|||No|N/A|No|1|No||..||2004|38|369|0|369|448.6|||MW||2004|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Others (38% / ..)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2004|January|Dragon Power Co., Ltd.||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Beijing Municipality|Not Applicable|Not Applicable|No|N/A|Yes|20|No||..||2004|100|0|181|181|220.1|Not Available||MW|30|2004|Waste|||Not Applicable||Not Applicable|Not Applicable|China Dragon Base Power Technology Ltd (85% / China), Citibank Corp. (15% / United States)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2004|August|Jiangsu Rudong Wind Power Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Rudong, Jiangsu province|25|2028|No|N/A|No|1|No||Federal||2004|100|0|97|97|117.9|||MW|100|2004|Wind, Onshore|||Lowest tariff|Competitive bidding|Not Available|Not Applicable|Farsighted Investment (25% / China), Huarui Investment Group (75% / China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2004|August|Qiaohe Cascade One Hydropower Plant Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Badong County, Hubei Province|||No|N/A|No|1|No||..||2004|100|0|4.39|4.39|5.3|||MW|6|2004|Hydro, Small (<50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Others (100% / ..)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2004|December|Yantai City (Changdao) Wind Farm|Changdao Wind Farm|Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Changdao, Shandong province|20||No|N/A|No|1|No||..||2004|45|0|29.8|29.8|36.2||6/1/06|MW|27|2004|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (45% / Hong Kong, China)|||Not Applicable|Not Applicable|Financial Closure|2006|||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2005|April|Asia Wind Power (Mudanjiang) Company Limited||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Mudanjiang City, Heilongjiang Province|70|2075|No|N/A|No|1|No||Local||2005|86|0|36.63|36.63|43.1|||MW|30|2005|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|Hong Kong Construction (Holdings) Ltd (86% / Hong Kong, China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2005|October|Datang Ruifeng Shuangliao Wind Farm Project Phase I||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Taonan City, Jilin Province|30|2035|No|N/A|No|1|No||Local||2005|49|0|60.12|60.12|70.7|0||MW|49|2005|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (25% / Hong Kong, China), Hydro Tasmania (25% / Australia)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2005|October|Gansu Datang Yumen Wind Power Co||Greenfield project|Build, own, and operate|Construction|Energy|N/A|Electricity|Electricity generation|Yumen City, Gansu Province|30||No|N/A|No|1|No||Federal||2005|40|0|57.5|57.5|67.6|||MW|49|2005|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|Korea Electric Power Company (KEPCO) (40% / Korea, Rep.)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2005|May|Hong Kong Wind Power (Muling) Company Limited||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Muling City, Heilongjiang Province|70|2075|No|N/A|No|1|No||Local||2005|80|0|73.26|73.26|86.2|||MW|30|2005|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|Hong Kong Construction (Holdings) Ltd (80% / Hong Kong, China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2005|October|Meida Daishan Wind Farm Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Daishan County, Zhejiang Province|22|2027|No|N/A|No|1|No||..||2005|45|0|51.89|51.89|61.0|||MW|41|2005|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|Zhejiang Meida Group (45% / China)|||Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2005|June|Weihai Wind power plant China Light and Power||Greenfield project|Build, own, and operate|Construction|Energy|N/A|Electricity|Electricity generation|Weihai City, Shandong Province|21||No|N/A|No|1|No||Local||2005|45|0|19.93|19.93|23.4|||MW|20|2005|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (45% / Hong Kong, China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2006|March|Asia Power (Leibo) Hydroelectric Power Co., Ltd.||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Leibo County, Sichuan Province|50|2056|No|N/A|No|1|No||Local||2006|40.1|0|18.63|18.63|21.2|||MW|40|2006|Hydro, Small (<50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Asia Power (41% / Singapore)||Not Available|Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2006|June|Asia Power (Yun County) Hydroelectric Power Co., Ltd.||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Yun County, Yunnan Province|50|2056|No|N/A|No|2|No||Local||2006|70|0|12.55|12.55|14.3|||MW|19.5|2006|Hydro, Small (<50MW)|||Not Available||Not Applicable|Not Applicable|Asia Power (70% / Singapore)||Not Available|Not Applicable|Not Applicable|Financial Closure|||No|||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2006|May|Changtu Liaoneng Xiexin Wind Farm Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Changtu County, Liaoning Province|20|2026|No|N/A|No|1|No||..||2006|25|0|53.95|53.95|61.5|||MW|50|2006|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Windpower Group Limited (25% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2006|November|Cixi Wind Farm Project Phase I||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Cixi City, Zhejiang Province|20|2026|No|N/A|No|1|No||Local||2006|25|0|75.28|75.28|85.8|||MW|50|2006|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|King Ring Group (25% / China)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2006|June|Diqing Weixi Luoma Hydro Power Plant||Greenfield project|Build, operate, and transfer|Construction|Energy|N/A|Electricity|Electricity generation|Weixi Lisu Minoriy Autonomative County, Yunnan Province|50|2056|No|N/A|No||No||Local||2006|100|0|30.35|30.35|34.6|Not Available||MW|60|2006|Hydro, Large (>50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Weixing Group Co Ltd (70% / China)||Not Available|Not Applicable|Not Applicable|Financial Closure||||||||||
East Asia and Pacific|China|Upper middle income|Non-IDA|2006|December|Guohua Ruifeng (Rongcheng) Wind Farm Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Rongcheng City, Shandong Province|20|2026|No|N/A|No|1|No||Local||2006|49|0|63.11|63.11|71.9||7/1/07|MW|49|2006|Wind, Onshore|||Not Applicable||Not Applicable|Not Applicable|China Light and Power Ltd. (25% / Hong Kong, China), Hydro Tasmania (25% / Australia)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Not Applicable|Financial Closure|2007|||||||||
